actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5
3.713476488239605,3.691364575494891,-0.904252128576417,-0.05097208241544418,-0.033925327098836194,-0.029106544485207525
3.7879726271161758,3.79757943887726,-1.0728963115947572,-0.0528960344624126,-0.03400818892937926,-0.02714020058634366
3.8671477092365034,3.6900935094513674,-0.861754617279814,-0.05187985176476851,-0.036504203360286,-0.035225714228393566
3.8060740705590077,3.7272519555699155,-1.2024666064396852,-0.057650714752895224,-0.030874803205555308,-0.03137675855315754
3.782932992102258,3.6461197431708743,-0.7826969099831982,-0.04995670513341588,-0.03179680449780009,-0.02866261898921453
3.8623650097542583,3.575964405110981,-0.9759436425434052,-0.049575538105154415,-0.03160880791232988,-0.0368494018419492
3.7655366669987345,3.74301330671347,-0.9615546226932311,-0.050490655363727155,-0.031210338071731215,-0.029072737156511895
3.804270813858055,3.5598574818840136,-0.9208682463400224,-0.05103636435855806,-0.03520178182357862,-0.032104794074308815
3.728299728580109,3.7514659249797777,-0.901114276655006,-0.043387188881436146,-0.038428176489889276,-0.03039329466839294
3.6723235070142133,3.4746500057378302,-1.0342449228802968,-0.04372711824871425,-0.03850326317083243,-0.0317468299698047
3.795999609269443,3.5690246668696997,-1.1321421889463346,-0.042913881986397145,-0.03622090625009346,-0.03507360957398812
3.903930145935112,3.5350037926003903,-1.0140958541722378,-0.03774837030493597,-0.042588690451867084,-0.038899816331956355
3.8053101596439687,3.6961512567780126,-1.0711355374023663,-0.03826327534979869,-0.03954459859360576,-0.034201932735576854
3.8118874005682395,3.5046631145503517,-1.00685663358688,-0.03774249383101383,-0.042661763050755586,-0.03602687118401488
3.818746553081766,3.742493222718132,-1.2860488088237454,-0.03995320930435276,-0.041869491429968486,-0.0346928657440425
3.685522265105095,3.5486935943582933,-1.323066319317657,-0.03883575452840021,-0.04088382790595885,-0.03289858369753855
3.814151765432598,3.711784028292679,-1.17100840255367,-0.03317483639491829,-0.04089664650290259,-0.032125299814666254
